"","All","Male","Female"
"shoepain","1.57(0.50), 2","1.78(0.42), 2","1.35(0.48), 1"
"itchy","1.74(0.44), 2","1.82(0.38), 2","1.66(0.47), 2"
"adjust","1.47(0.50), 1","1.64(0.48), 2","1.28(0.45), 1"
"arms","1.77(0.42), 2","1.83(0.37), 2","1.70(0.46), 2"
"walk","1.77(0.42), 2","1.83(0.37), 2","1.71(0.45), 2"
"bend","1.69(0.46), 2","1.84(0.37), 2","1.53(0.50), 2"
"welts","1.70(0.46), 2","1.86(0.34), 2","1.53(0.50), 2"
"breaths","1.85(0.36), 2","1.94(0.24), 2","1.75(0.43), 2"
"skirts","1.32(0.47), 1"," NaN(  NA), NA","1.32(0.47), 1"
"breasts","1.51(0.50), 2"," NaN(  NA), NA","1.51(0.50), 2"
"hot","1.52(0.50), 2","1.51(0.50), 2","1.52(0.50), 2"
"cold","1.55(0.50), 2","1.68(0.47), 2","1.43(0.50), 1"
"stand","1.57(0.49), 2","1.80(0.40), 2","1.34(0.47), 1"
"drag","1.84(0.37), 2","1.91(0.29), 2","1.76(0.43), 2"
"catch","1.48(0.50), 1","1.63(0.48), 2","1.32(0.47), 1"
