"","shoepain","itchy","adjust","arms","walk","bend","welts","breaths","skirts","breasts","hot","cold","stand","drag","catch"
"shoepain",1,0.44,0.62,0.38,0.35,0.52,0.52,0.47,0.32,0.27,0.28,0.53,0.73,0.36,0.42
"itchy",0.44,1,0.47,0.37,0.37,0.48,0.41,0.34,0.24,0.11,0.33,0.42,0.44,0.27,0.23
"adjust",0.62,0.47,1,0.5,0.45,0.62,0.57,0.51,0.52,0.46,0.3,0.52,0.63,0.41,0.35
"arms",0.38,0.37,0.5,1,0.45,0.59,0.33,0.51,0.55,0.43,0.31,0.44,0.51,0.41,0.32
"walk",0.35,0.37,0.45,0.45,1,0.62,0.27,0.46,0.33,0.26,0.25,0.35,0.4,0.3,0.23
"bend",0.52,0.48,0.62,0.59,0.62,1,0.53,0.72,0.5,0.39,0.26,0.5,0.63,0.34,0.32
"welts",0.52,0.41,0.57,0.33,0.27,0.53,1,0.62,0.19,0.27,0.2,0.32,0.55,0.32,0.3
"breaths",0.47,0.34,0.51,0.51,0.46,0.72,0.62,1,0.35,0.31,0.23,0.43,0.54,0.31,0.39
"skirts",0.32,0.24,0.52,0.55,0.33,0.5,0.19,0.35,1,0.5,0.18,0.49,0.42,0.31,0.34
"breasts",0.27,0.11,0.46,0.43,0.26,0.39,0.27,0.31,0.5,1,0.12,0.31,0.28,0.24,0.34
"hot",0.28,0.33,0.3,0.31,0.25,0.26,0.2,0.23,0.18,0.12,1,0.37,0.27,0.27,0.22
"cold",0.53,0.42,0.52,0.44,0.35,0.5,0.32,0.43,0.49,0.31,0.37,1,0.5,0.36,0.35
"stand",0.73,0.44,0.63,0.51,0.4,0.63,0.55,0.54,0.42,0.28,0.27,0.5,1,0.42,0.4
"drag",0.36,0.27,0.41,0.41,0.3,0.34,0.32,0.31,0.31,0.24,0.27,0.36,0.42,1,0.35
"catch",0.42,0.23,0.35,0.32,0.23,0.32,0.3,0.39,0.34,0.34,0.22,0.35,0.4,0.35,1
